,pid,age,sex,sleep,sit-stand,walking,mixed,vehicle,bicycling
127,P128,38-52,F,2370.0,3258.0,601.0,1080.0,288.0,
128,P129,18-29,M,1920.0,818.0,608.0,2558.0,133.0,
129,P130,38-52,F,2520.0,1683.0,1114.0,1057.0,606.0,
130,P131,30-37,M,2400.0,2774.0,427.0,555.0,,255.0
131,P132,38-52,F,2250.0,2571.0,286.0,509.0,,142.0
132,P133,18-29,F,3960.0,1292.0,66.0,3056.0,,191.0
133,P134,30-37,M,3000.0,815.0,94.0,971.0,,
134,P135,30-37,M,2010.0,698.0,123.0,2350.0,195.0,
135,P136,18-29,F,1080.0,2165.0,48.0,269.0,795.0,
136,P137,53+,F,2460.0,435.0,383.0,2090.0,104.0,
137,P138,53+,F,1710.0,1784.0,609.0,692.0,273.0,
138,P139,18-29,M,1233.0,2171.0,150.0,1064.0,40.0,
139,P140,53+,F,899.0,2351.0,653.0,1362.0,143.0,
140,P141,38-52,F,2430.0,1266.0,426.0,627.0,260.0,
141,P142,53+,M,540.0,1724.0,281.0,1296.0,,
142,P143,18-29,M,1380.0,2225.0,475.0,182.0,,
143,P144,38-52,M,1680.0,2557.0,301.0,152.0,319.0,
144,P145,18-29,F,3390.0,1795.0,482.0,123.0,1087.0,256.0
145,P146,30-37,F,2820.0,2999.0,388.0,1267.0,,
146,P147,30-37,F,2940.0,923.0,680.0,1887.0,,396.0
147,P148,38-52,F,2610.0,2728.0,205.0,200.0,,403.0
148,P149,30-37,F,1860.0,1336.0,405.0,1541.0,83.0,
149,P150,38-52,F,2850.0,1715.0,699.0,1789.0,245.0,
150,P151,30-37,F,3120.0,1513.0,746.0,694.0,176.0,
